Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
FRR,-0.25179,0.00512175
IET,0.172374,0.827626
DET,2.69688e-05,0.692361
FAR,3.1495,2.69688e-05
FRR,-0.249512,0.00519315
IET,0.173172,0.826828
DET,2.77259e-05,0.691947
FAR,3.14597,2.77259e-05
FRR,-0.247203,0.00526554
IET,0.173973,0.826027
DET,2.85043e-05,0.690337
FAR,3.14138,2.85043e-05
FRR,-0.24486,0.00533894
IET,0.174777,0.825223
DET,2.93045e-05,0.688682
FAR,3.13666,2.93045e-05
FRR,-0.242486,0.00541336
IET,0.175586,0.824414
DET,3.01272e-05,0.686981
FAR,3.1318,3.01272e-05
FRR,-0.240078,0.00548882
IET,0.176398,0.823602
DET,3.09729e-05,0.685993
FAR,3.12847,3.09729e-05
FRR,-0.237637,0.00556533
IET,0.177214,0.822786
DET,3.18424e-05,0.685543
FAR,3.12628,3.18424e-05
FRR,-0.235162,0.00564291
IET,0.178033,0.821967
DET,3.27363e-05,0.685081
FAR,3.12402,3.27363e-05
FRR,-0.232652,0.00572157
IET,0.178857,0.821143
DET,3.36553e-05,0.683982
FAR,3.12128,3.36553e-05
FRR,-0.232343,0.00580132
IET,0.179684,0.820316
DET,3.46002e-05,0.682029
FAR,3.11789,3.46002e-05
FRR,-0.232324,0.00588219
IET,0.180515,0.819485
DET,3.55715e-05,0.68002
FAR,3.1144,3.55715e-05
FRR,-0.232303,0.00596418
IET,0.18135,0.81865
DET,3.65701e-05,0.678801
FAR,3.11209,3.65701e-05
FRR,-0.232283,0.00604732
IET,0.182189,0.817811
DET,3.75968e-05,0.67827
FAR,3.11079,3.75968e-05
FRR,-0.232262,0.00613162
IET,0.183031,0.816969
DET,3.86522e-05,0.677724
FAR,3.10946,3.86522e-05
FRR,-0.232241,0.00621709
IET,0.183878,0.816122
DET,3.97373e-05,0.676677
FAR,3.10389,3.97373e-05
FRR,-0.232219,0.00630375
IET,0.184728,0.815272
DET,4.08528e-05,0.675523
FAR,3.09752,4.08528e-05
FRR,-0.232198,0.00639162
IET,0.185583,0.814417
DET,4.19997e-05,0.674114
FAR,3.09183,4.19997e-05
FRR,-0.232176,0.00648072
IET,0.186441,0.813559
DET,4.31788e-05,0.672285
FAR,3.08746,4.31788e-05
FRR,-0.232153,0.00657106
IET,0.187303,0.812697
DET,4.4391e-05,0.670075
FAR,3.08179,4.4391e-05
FRR,-0.232131,0.00666265
IET,0.188169,0.811831
DET,4.56371e-05,0.660411
FAR,3.04954,4.56371e-05
FRR,-0.232108,0.00675553
IET,0.18904,0.81096
DET,4.69184e-05,0.650475
FAR,3.01639,4.69184e-05
FRR,-0.232084,0.0068497
IET,0.189914,0.810086
DET,4.82355e-05,0.648706
FAR,3.01139,4.82355e-05
FRR,-0.232061,0.00694518
IET,0.190792,0.809208
DET,4.95896e-05,0.648356
FAR,3.0113,4.95896e-05
FRR,-0.232037,0.00704199
IET,0.191675,0.808325
DET,5.09817e-05,0.647996
FAR,3.01121,5.09817e-05
FRR,-0.232012,0.00714015
IET,0.192561,0.807439
DET,5.24129e-05,0.647626
FAR,3.01113,5.24129e-05
FRR,-0.231757,0.00723968
IET,0.193452,0.806548
DET,5.38844e-05,0.644376
FAR,3.00325,5.38844e-05
FRR,-0.231426,0.0073406
IET,0.194347,0.805653
DET,5.53971e-05,0.640466
FAR,2.99361,5.53971e-05
FRR,-0.231091,0.00744292
IET,0.195246,0.804754
DET,5.69522e-05,0.63961
FAR,2.98898,5.69522e-05
FRR,-0.230752,0.00754667
IET,0.196149,0.803851
DET,5.85511e-05,0.638229
FAR,2.98265,5.85511e-05
FRR,-0.230408,0.00765187
IET,0.197056,0.802944
DET,6.01948e-05,0.634829
FAR,2.97018,6.01948e-05
FRR,-0.230058,0.00775853
IET,0.197967,0.802033
DET,6.18847e-05,0.631335
FAR,2.95807,6.18847e-05
FRR,-0.229704,0.00786668
IET,0.198883,0.801117
DET,6.36219e-05,0.627742
FAR,2.94622,6.36219e-05
FRR,-0.229345,0.00797634
IET,0.199803,0.800197
DET,6.54081e-05,0.622319
FAR,2.93087,6.54081e-05
FRR,-0.228982,0.00808753
IET,0.200727,0.799273
DET,6.72443e-05,0.61853
FAR,2.92097,6.72443e-05
FRR,-0.228613,0.00820026
IET,0.201655,0.798345
DET,6.9132e-05,0.617554
FAR,2.92016,6.9132e-05
FRR,-0.228238,0.00831457
IET,0.202588,0.797412
DET,7.10728e-05,0.61655
FAR,2.91548,7.10728e-05
FRR,-0.227859,0.00843047
IET,0.203525,0.796475
DET,7.30681e-05,0.615782
FAR,2.91119,7.30681e-05
FRR,-0.227474,0.00854799
IET,0.204466,0.795534
DET,7.51193e-05,0.615252
FAR,2.90761,7.51193e-05
FRR,-0.22595,0.00866714
IET,0.205412,0.794588
DET,7.72281e-05,0.614707
FAR,2.90393,7.72281e-05
FRR,-0.223628,0.00878795
IET,0.206362,0.793638
DET,7.93961e-05,0.611814
FAR,2.89327,7.93961e-05
FRR,-0.221272,0.00891045
IET,0.207316,0.792684
DET,8.16251e-05,0.609009
FAR,2.88459,8.16251e-05
FRR,-0.218886,0.00903466
IET,0.208275,0.791725
DET,8.39166e-05,0.607045
FAR,2.87963,8.39166e-05
FRR,-0.216465,0.0091606
IET,0.209238,0.790762
DET,8.62723e-05,0.605922
FAR,2.87626,8.62723e-05
FRR,-0.21401,0.00928829
IET,0.210206,0.789794
DET,8.86944e-05,0.605296
FAR,2.87063,8.86944e-05
FRR,-0.211521,0.00941777
IET,0.211178,0.788822
DET,9.11843e-05,0.604652
FAR,2.86485,9.11843e-05
FRR,-0.208999,0.00954905
IET,0.212155,0.787845
DET,9.37441e-05,0.599833
FAR,2.84276,9.37441e-05
FRR,-0.206439,0.00968215
IET,0.213136,0.786864
DET,9.63758e-05,0.595507
FAR,2.82889,9.63758e-05
FRR,-0.203845,0.00981712
