Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
IET,0.00445963,0.998554
DET,2.04466e-05,0.998735
FAR,-7.99854,2.04466e-05
FRR,-9.66455,0.000747735
IET,0.00452179,0.998534
DET,2.10206e-05,0.998725
FAR,-8.00001,2.10206e-05
FRR,-9.66455,0.000761664
IET,0.00458482,0.998514
DET,2.16107e-05,0.998715
FAR,-8.00152,2.16107e-05
FRR,-9.66455,0.000775853
IET,0.00464873,0.998493
DET,2.22174e-05,0.998705
FAR,-8.00308,2.22174e-05
FRR,-9.66455,0.000790307
IET,0.00471354,0.998472
DET,2.28411e-05,0.998694
FAR,-8.00467,2.28411e-05
FRR,-9.66455,0.000805029
IET,0.00477924,0.998451
DET,2.34823e-05,0.998683
FAR,-8.00632,2.34823e-05
FRR,-9.66455,0.000820026
IET,0.00484586,0.998429
DET,2.41416e-05,0.998671
FAR,-8.008,2.41416e-05
FRR,-9.66455,0.000835302
IET,0.00491341,0.998407
DET,2.48193e-05,0.99866
FAR,-8.00974,2.48193e-05
FRR,-9.66455,0.000850863
IET,0.0049819,0.998385
DET,2.55161e-05,0.998648
FAR,-8.01152,2.55161e-05
FRR,-9.66455,0.000866714
IET,0.00505134,0.998362
DET,2.62324e-05,0.998635
FAR,-8.01336,2.62324e-05
FRR,-9.66455,0.00088286
IET,0.00512175,0.99834
DET,2.69688e-05,0.998623
FAR,-8.01524,2.69688e-05
FRR,-9.66455,0.000899307
IET,0.00519315,0.998317
DET,2.77259e-05,0.99861
FAR,-8.01718,2.77259e-05
FRR,-9.66455,0.00091606
IET,0.00526554,0.998293
DET,2.85043e-05,0.998596
FAR,-8.01917,2.85043e-05
FRR,-9.66455,0.000933125
IET,0.00533894,0.998269
DET,2.93045e-05,0.998582
FAR,-8.02122,2.93045e-05
FRR,-9.66455,0.000950508
IET,0.00541336,0.998245
DET,3.01272e-05,0.998568
FAR,-8.02332,3.01272e-05
FRR,-9.66451,0.000968215
IET,0.00548882,0.998221
DET,3.09729e-05,0.998554
FAR,-8.02549,3.09729e-05
FRR,-9.66441,0.000986252
IET,0.00556533,0.998196
DET,3.18424e-05,0.998539
FAR,-8.02772,3.18424e-05
FRR,-9.66432,0.00100463
IET,0.00564291,0.998171
DET,3.27363e-05,0.998523
FAR,-8.03,3.27363e-05
FRR,-9.66422,0.00102334
IET,0.00572157,0.998145
DET,3.36553e-05,0.998507
FAR,-8.03236,3.36553e-05
FRR,-9.66412,0.0010424
IET,0.00580132,0.998119
DET,3.46002e-05,0.998491
FAR,-8.03477,3.46002e-05
FRR,-9.66402,0.00106182
IET,0.00588219,0.998093
DET,3.55715e-05,0.998474
FAR,-8.03726,3.55715e-05
FRR,-9.66391,0.0010816
IET,0.00596418,0.998067
DET,3.65701e-05,0.998457
FAR,-8.03982,3.65701e-05
FRR,-9.66381,0.00110175
IET,0.00604732,0.99804
DET,3.75968e-05,0.99844
FAR,-8.04245,3.75968e-05
FRR,-9.6637,0.00112228
IET,0.00613162,0.998012
DET,3.86522e-05,0.998421
FAR,-8.04515,3.86522e-05
FRR,-9.66359,0.00114318
IET,0.00621709,0.997985
DET,3.97373e-05,0.998403
FAR,-8.04792,3.97373e-05
FRR,-9.66348,0.00116448
IET,0.00630375,0.997956
DET,4.08528e-05,0.998383
FAR,-8.05078,4.08528e-05
FRR,-9.66336,0.00118617
IET,0.00639162,0.997928
DET,4.19997e-05,0.998364
FAR,-8.05372,4.19997e-05
FRR,-9.66325,0.00120827
IET,0.00648072,0.997899
DET,4.31788e-05,0.998343
FAR,-8.05673,4.31788e-05
FRR,-9.66313,0.00123078
IET,0.00657106,0.99787
DET,4.4391e-05,0.998322
FAR,-8.05984,4.4391e-05
FRR,-9.66301,0.00125371
IET,0.00666265,0.99784
DET,4.56371e-05,0.998301
FAR,-8.06303,4.56371e-05
FRR,-9.66288,0.00127706
IET,0.00675553,0.99781
DET,4.69184e-05,0.998279
FAR,-8.06631,4.69184e-05
FRR,-9.66276,0.00130085
IET,0.0068497,0.997779
DET,4.82355e-05,0.998256
FAR,-8.06968,4.82355e-05
FRR,-9.66263,0.00132509
IET,0.00694518,0.997749
DET,4.95896e-05,0.998233
FAR,-8.07314,4.95896e-05
FRR,-9.6625,0.00134977
IET,0.00704199,0.997717
DET,5.09817e-05,0.998209
FAR,-8.07671,5.09817e-05
FRR,-9.66237,0.00137492
IET,0.00714015,0.997685
DET,5.24129e-05,0.998184
FAR,-8.08037,5.24129e-05
FRR,-9.66224,0.00140053
IET,0.00723968,0.997653
DET,5.38844e-05,0.998159
FAR,-8.08414,5.38844e-05
FRR,-9.6621,0.00142662
IET,0.0073406,0.99762
DET,5.53971e-05,0.998133
FAR,-8.08801,5.53971e-05
FRR,-9.66196,0.0014532
IET,0.00744292,0.997587
DET,5.69522e-05,0.998106
FAR,-8.09199,5.69522e-05
FRR,-9.66182,0.00148027
IET,0.00754667,0.997554
DET,5.85511e-05,0.998078
FAR,-8.09607,5.85511e-05
FRR,-9.66167,0.00150784
IET,0.00765187,0.997519
DET,6.01948e-05,0.998035
FAR,-8.09838,6.01948e-05
FRR,-9.66152,0.00153593
IET,0.00775853,0.997485
DET,6.18847e-05,0.99799
FAR,-8.10077,6.18847e-05
FRR,-9.66138,0.00156455
IET,0.00786668,0.99745
DET,6.36219e-05,0.997944
FAR,-8.10322,6.36219e-05
FRR,-9.66122,0.00159369
IET,0.00797634,0.997414
DET,6.54081e-05,0.997897
FAR,-8.10573,6.54081e-05
FRR,-9.66107,0.00162338
IET,0.00808753,0.997378
DET,6.72443e-05,0.997848
FAR,-8.10832,6.72443e-05
FRR,-9.66091,0.00165362
IET,0.00820026,0.997342
DET,6.9132e-05,0.997798
FAR,-8.11099,6.9132e-05
FRR,-9.66074,0.00168443
IET,0.00831457,0.997305
DET,7.10728e-05,0.997746
FAR,-8.11372,7.10728e-05
FRR,-9.66058,0.00171581
IET,0.00843047,0.997267
DET,7.30681e-05,0.997694
FAR,-8.11654,7.30681e-05
FRR,-9.66041,0.00174777
IET,0.00854799,0.997241
DET,7.51193e-05,0.997639
FAR,-8.11943,7.51193e-05
FRR,-9.66024,0.00178033
IET,0.00866714,0.997222
DET,7.72281e-05,0.997583
FAR,-8.1224,7.72281e-05
FRR,-9.66007,0.0018135
IET,0.00878795,0.997202
DET,7.93961e-05,0.997526
FAR,-8.12546,7.93961e-05
FRR,-9.65989,0.00184728
IET,0.00891045,0.997182
DET,8.16251e-05,0.997467
FAR,-8.1286,8.16251e-05
FRR,-9.65971,0.00188169
IET,0.00903466,0.997162
DET,8.39166e-05,0.997406
FAR,-8.13183,8.39166e-05
FRR,-9.65953,0.00191675
IET,0.0091606,0.997142
DET,8.62723e-05,0.997343
FAR,-8.13516,8.62723e-05
FRR,-9.65934,0.00195246
IET,0.00928829,0.997121
DET,8.86944e-05,0.997279
FAR,-8.13857,8.86944e-05
FRR,-9.65915,0.00198883
IET,0.00941777,0.9971
DET,9.11843e-05,0.997213
FAR,-8.14208,9.11843e-05
FRR,-9.65895,0.00202588
IET,0.00954905,0.997079
DET,9.37441e-05,0.997145
FAR,-8.14569,9.37441e-05
FRR,-9.65875,0.00206362
IET,0.00968215,0.997057
DET,9.63758e-05,0.997076
FAR,-8.14753,9.63758e-05
FRR,-9.65855,0.00210206
IET,0.00981712,0.997035
DET,9.90813e-05,0.997004
FAR,-8.14819,9.90813e-05
FRR,-9.65835,0.00214122
IET,0.00995396,0.997013
DET,0.000101863,0.99693
FAR,-8.14887,0.000101863
FRR,-9.65814,0.00218111
IET,0.0100927,0.99699
DET,0.000104723,0.996854
FAR,-8.14956,0.000104723
FRR,-9.65792,0.00222174
IET,0.0102334,0.996968
DET,0.000107662,0.996776
FAR,-8.15028,0.000107662
FRR,-9.6577,0.00226313
IET,0.010376,0.996945
DET,0.000110685,0.996696
FAR,-8.15101,0.000110685
FRR,-9.65748,0.00230529
IET,0.0105207,0.996921
DET,0.000113792,0.996614
FAR,-8.15177,0.000113792
FRR,-9.65726,0.00234823
IET,0.0106673,0.996897
DET,0.000116987,0.996529
FAR,-8.15255,0.000116987
FRR,-9.65703,0.00239198
IET,0.010816,0.996873
DET,0.000120271,0.996442
FAR,-8.15335,0.000120271
FRR,-9.65679,0.00243654
IET,0.0109668,0.996849
DET,0.000123647,0.996353
FAR,-8.15417,0.000123647
FRR,-9.65656,0.00248193
IET,0.0111197,0.996824
DET,0.000127118,0.996261
FAR,-8.15501,0.000127118
FRR,-9.65631,0.00252817
IET,0.0112747,0.996799
DET,0.000130687,0.996166
FAR,-8.15588,0.000130687
FRR,-9.65607,0.00257526
IET,0.0114318,0.996773
DET,0.000134356,0.995927
FAR,-8.1568,0.000134356
FRR,-9.65581,0.00262324
IET,0.0115912,0.996748
DET,0.000138128,0.995667
FAR,-8.15776,0.000138128
FRR,-9.65556,0.00267211
IET,0.0117528,0.996721
DET,0.000142005,0.9954
FAR,-8.15874,0.000142005
FRR,-9.6553,0.00272188
IET,0.0119166,0.996695
DET,0.000145992,0.994477
FAR,-8.16006,0.000145992
FRR,-9.65503,0.00277259
IET,0.0120827,0.996668
DET,0.00015009,0.993174
FAR,-8.16179,0.00015009
FRR,-9.65476,0.00282424
IET,0.0122511,0.996641
DET,0.000154304,0.992993
FAR,-8.16319,0.000154304
FRR,-9.65448,0.00287685
IET,0.0124219,0.996613
DET,0.000158636,0.992806
FAR,-8.16463,0.000158636
FRR,-9.6542,0.00293045
IET,0.0125951,0.996585
DET,0.000163089,0.992614
FAR,-8.16611,0.000163089
FRR,-9.65391,0.00298504
IET,0.0127706,0.996556
DET,0.000167668,0.992417
FAR,-8.16763,0.000167668
FRR,-9.65362,0.00304065
IET,0.0129486,0.996528
DET,0.000172374,0.992214
FAR,-8.16919,0.000172374
FRR,-9.65332,0.00309729
IET,0.0131291,0.996498
DET,0.000177214,0.992006
FAR,-8.1708,0.000177214
FRR,-9.65302,0.00315499
IET,0.0133122,0.996469
DET,0.000182188,0.991791
FAR,-8.17245,0.000182188
