Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
FRR,-0.513108,0.00168443
IET,0.00831457,0.826262
DET,7.10728e-05,0.874164
FAR,1.79103,7.10728e-05
FRR,-0.513108,0.00171581
IET,0.00843047,0.826243
DET,7.30681e-05,0.872789
FAR,1.77255,7.30681e-05
FRR,-0.513108,0.00174777
IET,0.00854799,0.826224
DET,7.51193e-05,0.871375
FAR,1.75932,7.51193e-05
FRR,-0.513108,0.00178033
IET,0.00866714,0.826205
DET,7.72281e-05,0.871142
FAR,1.75577,7.72281e-05
FRR,-0.513108,0.0018135
IET,0.00878795,0.826185
DET,7.93961e-05,0.870993
FAR,1.75286,7.93961e-05
FRR,-0.513108,0.00184728
IET,0.00891045,0.826166
DET,8.16251e-05,0.870839
FAR,1.74987,8.16251e-05
FRR,-0.513108,0.00188169
IET,0.00903466,0.826145
DET,8.39166e-05,0.870681
FAR,1.74679,8.39166e-05
FRR,-0.513108,0.00191675
IET,0.0091606,0.826125
DET,8.62723e-05,0.870519
FAR,1.74363,8.62723e-05
FRR,-0.511814,0.00195246
IET,0.00928829,0.826104
DET,8.86944e-05,0.870352
FAR,1.74038,8.86944e-05
FRR,-0.510309,0.00198883
IET,0.00941777,0.826083
DET,9.11843e-05,0.870089
FAR,1.73831,9.11843e-05
FRR,-0.508775,0.00202588
IET,0.00954905,0.826062
DET,9.37441e-05,0.869795
FAR,1.7365,9.37441e-05
FRR,-0.507213,0.00206362
IET,0.00968215,0.826041
DET,9.63758e-05,0.869492
FAR,1.73465,9.63758e-05
FRR,-0.505622,0.00210206
IET,0.00981712,0.826019
DET,9.90813e-05,0.86726
FAR,1.7309,9.90813e-05
FRR,-0.504001,0.00214122
IET,0.00995396,0.825996
DET,0.000101863,0.863426
FAR,1.72496,0.000101863
FRR,-0.502351,0.00218111
IET,0.0100927,0.825974
DET,0.000104723,0.859484
FAR,1.71832,0.000104723
FRR,-0.500668,0.00222174
IET,0.0102334,0.825951
DET,0.000107662,0.857529
FAR,1.7131,0.000107662
FRR,-0.498956,0.00226313
IET,0.010376,0.825928
DET,0.000110685,0.857008
FAR,1.70886,0.000110685
FRR,-0.497212,0.00230529
